longitude,latitude
27.462919,53.936091
27.723325,53.944317
27.725803,53.943982
27.724805,53.944468
27.546174,53.903254
27.545477,53.903513
27.544865,53.903892
27.544125,53.904
27.543814,53.904752
27.543932,53.903589
27.541593,53.904644
27.564231,53.866443
27.686832,53.935701
27.553416,53.893614
27.554157,53.893178
27.67698,53.91361
27.686753,53.811476
27.702217,53.837812
27.45873,53.849742
27.423634,53.898879
27.519947,53.91018
27.583622,53.909335
27.650818,53.900859
27.697512,53.926745
27.698135,53.927061
27.697577,53.927238
27.697949,53.927955
27.698915,53.928751
27.698443,53.928972
27.698958,53.929572
27.653414,53.889494
27.652491,53.889431
27.652299,53.890686
27.548913,53.929045
27.549278,53.929114
27.499093,53.925757
27.531869,53.878872
27.440615,53.882775
27.683874,53.934638
27.450884,53.875832
27.451898,53.875753
27.452859,53.875649
27.453695,53.875446
27.448728,53.876161
27.449774,53.876012
27.453198,53.895444
27.451385,53.893067
27.453502,53.881132
27.907221,53.876912
27.905697,53.876419
27.530762,53.909085
27.532006,53.908535
27.533294,53.908295
27.533777,53.909066
27.534474,53.909236
27.446775,53.887873
27.443707,53.889862
27.456139,53.879197
27.585205,53.939312
27.437716,53.933009
27.4366,53.933369
27.435399,53.933748
27.433339,53.93424
27.433575,53.932838
27.435173,53.932813
27.434111,53.932225
27.437223,53.931423
27.595671,53.941133
27.683136,53.949578
27.431112,53.922085
27.430286,53.922256
27.435007,53.921788
27.434127,53.921795
27.549543,53.894385
27.551013,53.893317
27.549961,53.893291
27.549661,53.892912
27.596924,53.941758
27.533758,53.8455
27.531896,53.849206
27.465267,53.852948
27.434153,53.910422
27.626439,53.85739
27.539594,53.903302
27.541107,53.903118
27.539176,53.90308
27.540002,53.903567
27.537298,53.90473
27.543347,53.902339
27.528043,53.904633
27.59381,53.935526
27.463909,53.852277
27.462976,53.852201
27.46216,53.852214
27.46142,53.852252
27.460508,53.852233
27.460004,53.852163
27.459521,53.852113
27.459017,53.852075
27.529878,53.845206
27.538654,53.902331
27.437403,53.921217
27.553341,53.894501
27.474505,53.900835
27.474902,53.901107
27.906121,53.878629
27.901191,53.875571
27.904463,53.876621
27.903026,53.876748
27.904098,53.874079
27.903712,53.875508
27.559722,53.870553
27.562019,53.86001
27.562737,53.86027
27.563156,53.859795
27.604697,53.907501
27.605223,53.908045
27.605749,53.908374
27.642825,53.921173
27.642406,53.921123
27.642374,53.920921
27.651686,53.897915
27.659819,53.901347
27.617719,53.933615
27.546705,53.95835
27.548197,53.95823
27.540226,53.880328
27.660224,53.909189
27.551136,53.897913
27.689221,53.878146
27.689801,53.8827
27.690584,53.878595
27.558893,53.869984
27.721156,53.943106
27.721553,53.942916
27.722261,53.9426
27.723183,53.942221
27.669165,53.951539
27.669905,53.951817
27.551941,53.89938
27.565936,53.873244
27.579692,53.873838
27.579477,53.874401
27.480879,53.851965
27.650662,53.926521
27.651617,53.926471
27.651048,53.92625
27.650469,53.925972
27.651424,53.925915
27.551452,53.878424
27.539098,53.909489
27.536561,53.908332
27.535681,53.909255
27.534254,53.911274
27.532827,53.910873
27.531566,53.910528
27.533814,53.911745
27.467798,53.932403
27.554798,53.902174
27.553093,53.901099
27.428001,53.915986
27.424568,53.916264
27.424031,53.915815
27.422765,53.916346
27.423012,53.915815
27.510415,53.849557
27.510501,53.849386
27.51035,53.849253
27.633673,53.945872
27.530829,53.905907
27.537588,53.905275
27.536783,53.905345
27.429691,53.932334
27.429466,53.931469
27.430978,53.931633
27.43145,53.930825
27.430989,53.929985
27.430163,53.933691
27.427395,53.931543
27.428232,53.930747
27.428597,53.930242
27.42732,53.930362
27.427728,53.929692
27.426462,53.930431
27.424734,53.928498
27.424005,53.927747
27.424477,53.926944
27.423382,53.926913
27.423887,53.925466
27.422417,53.924424
27.419413,53.910241
27.675338,53.91117
27.675188,53.912181
27.676299,53.912724
27.67867,53.911966
27.677634,53.911025
27.508934,53.892061
27.49149,53.852161
27.49073,53.850993
